"Country Code","Year","Population"
"IRL","1962",2836050
"IRN","1962",23071429
"IRQ","1962",7674223
"ISL","1962",182378
"ISR","1962",2293000
"ITA","1962",50879450
"JAM","1962",1676250
"JOR","1962",1009733
"JPN","1962",95832000
"KAZ","1962",10532062
"KEN","1962",8628972
"KGZ","1962",2333400
"KHM","1962",6028551
"KIR","1962",43302
"KNA","1962",50966
"KOR","1962",26513030
"KWT","1962",338296
"LAC","1962",218187764
"LAO","1962",2221122
"LBN","1962",1925276
"LBR","1962",1170480
"LBY","1962",1550813
"LCA","1962",92084
"LCN","1962",232897323
"LDC","1962",252264341
"LIC","1962",161549718
"LIE","1962",17290
"LKA","1962",10352188
"LMC","1962",997980664
"LMY","1962",2350559730
"LSO","1962",882170
"LTE","1962",1114283229
"LTU","1962",2863350
"LUX","1962",320750
"LVA","1962",2181586
"MAC","1962",176188
"MAF","1962",4566
"MAR","1962",13094818
"MCO","1962",23039
"MDA","1962",2664000
"MDG","1962",5352503
"MDV","1962",94938
"MEA","1962",111385940
"MEX","1962",40649588
"MHL","1962",15547
"MIC","1962",2189010012
"MKD","1962",1527111
"MLI","1962",5381368
"MLT","1962",323900
"MMR","1962",21898020
"MNA","1962",103147177
"MNE","1962",502558
"MNG","1962",1011324
"MNP","1962",10499
"MOZ","1962",7699139
"MRT","1962",909174
"MUS","1962",700349
"MWI","1962",3784439
"MYS","1962",8692815
"NAC","1962",205198600
"NAM","1962",632654
"NCL","1962",83400
"NER","1962",3588156
"NGA","1962",47029140
"NIC","1962",1886562
"NLD","1962",11805689
"NOR","1962",3638918
"NPL","1962",10384204
"NRU","1962",4947
"NZL","1962",2482000
"OED","1962",811972766
"OMN","1962",578824
"OSS","1962",9539303
"PAK","1962",47119361
"PAN","1962",1202373
"PER","1962",10650667
"PHL","1962",28081231
"PLW","1962",10151
"PNG","1962",2094687
"POL","1962",30308500
"PRE","1962",197466057
"PRI","1962",2450322
"PRK","1962",11871712
"PRT","1962",8993985
"PRY","1962",2005337
"PSE","1962",NA
"PSS","1962",924220
"PST","1962",774970556
"PYF","1962",83651
"QAT","1962",56263
"ROU","1962",18676550
"RUS","1962",122591000
"RWA","1962",3050604
"SAS","1962",596413939
"SAU","1962",4362864
"SDN","1962",8004121
"SEN","1962",3386863
"SGP","1962",1750200
"SLB","1962",125064
"SLE","1962",2363013
"SLV","1962",2927857
"SMR","1962",16199
"SOM","1962",2874190
"SRB","1962",NA
"SSA","1962",239603097
"SSD","1962",3069913
"SSF","1962",239647139
"SST","1962",14821269
"STP","1962",64432
"SUR","1962",306328
"SVK","1962",4238188
"SVN","1962",1603649
"SWE","1962",7561588
"SWZ","1962",365636
"SXM","1962",NA
"SYC","1962",44042
"SYR","1962",4875422
"TCA","1962",5763
"TCD","1962",3121216
"TEA","1962",893563281
"TEC","1962",318070294
"TGO","1962",1612755
"THA","1962",29081034
"TJK","1962",2236559
"TKM","1962",1715408
"TLA","1962",222396518
"TLS","1962",518107
"TMN","1962",103147177
"TON","1962",66259
"TSA","1962",596413939
"TSS","1962",239647139
"TTO","1962",880023
"TUN","1962",4303131
"TUR","1962",28832805
"TUV","1962",6389
"TZA","1962",10683906
"UGA","1962",7240174
"UKR","1962",43749470
"UMC","1962",1191029348
"URY","1962",2603887
"USA","1962",186538000
"UZB","1962",9138097
"VCT","1962",83206
"VEN","1962",8790589
"VGB","1962",8298
"VIR","1962",35000
"VNM","1962",34684165
"VUT","1962",67808
"WLD","1962",3126509808
"WSM","1962",115788
"XKX","1962",994000
"YEM","1962",5351799
"ZAF","1962",18401608
"ZMB","1962",3240587
"ZWE","1962",3999419
"ABW","1963",56695
"AFG","1963",9533954
"AGO","1963",5980417
"ALB","1963",1762621
"AND","1963",16412
"ARB","1963",100411076
"ARE","1963",125566
"ARG","1963",21621840
"ARM","1963",2077575
"ASM","1963",21882
"ATG","1963",58294
"AUS","1963",10950000
"AUT","1963",7175811
"AZE","1963",4315128
"BDI","1963",2949926
"BEL","1963",9289770
"BEN","1963",2542859
"BFA","1963",5027821
"BGD","1963",52532417
"BGR","1963",8078145
"BHR","1963",178140
"BHS","1963",127333
"BIH","1963",3417574
"BLR","1963",8437232
"BLZ","1963",100164
"BMU","1963",47700
"BOL","1963",3913395
"BRA","1963",78854019
"BRB","1963",233587
"BRN","1963",93576
"BTN","1963",240778
"BWA","1963",565353
"CAF","1963",1585763
"CAN","1963",18964000
"CEB","1963",93845749
"CHE","1963",5694247
"CHI","1963",112595
"CHL","1963",8247415
"CHN","1963",682335000
"CIV","1963",3996941
"CMR","1963",5520332
"COD","1963",16461930
"COG","1963",1121735
"COL","1963",18033550
"COM","1963",200372
"CPV","1963",216908
"CRI","1963",1484510
"CSS","1963",4436804
"CUB","1963",7618354
"CUW","1963",130860
"CYM","1963",8227
"CYP","1963",577913
"CZE","1963",9670685
"DEU","1963",74714353
"DJI","1963",100628
"DMA","1963",62918
"DNK","1963",4684483
"DOM","1963",3638628
"DZA","1963",11985136
"EAP","1963",928641161
"EAR","1963",1051414973
"EAS","1963",1083802302
"ECA","1963",292120322
"ECS","1963",690962675
"ECU","1963",4953733
"EGY","1963",29281250
"EMU","1963",272876447
"ERI","1963",1508273
"ESP","1963",31296651
"EST","1963",1258857
"ETH","1963",23798429
"EUU","1963",420393293
"FCS","1963",130492518
"FIN","1963",4523309
"FJI","1963",436208
"FRA","1963",48803680
"FRO","1963",36014
"FSM","1963",48876
"GAB","1963",516265
"GBR","1963",53650000
"GEO","1963",3816100
"GHA","1963",7303432
"GIB","1963",24848
"GIN","1963",3749505
"GMB","1963",389072
"GNB","1963",636586
"GNQ","1963",266598
"GRC","1963",8479625
"GRD","1963",93350
"GRL","1963",36400
"GTM","1963",4595510
"GUM","1963",71286
"GUY","1963",622575
"HIC","1963",785863206
"HKG","1963",3420900
"HND","1963",2216707
"HPC","1963",174502178
"HRV","1963",4231408
"HTI","1963",4103730
"HUN","1963",10087947
"IBD","1963",2017341252
"IBT","1963",2428869007
"IDA","1963",411527755
"IDB","1963",132460233
"IDN","1963",95055665
"IDX","1963",279067522
"IMN","1963",48800
"IND","1963",477527970
"INX","1963",NA
"IRL","1963",2852650
"IRN","1963",23680432
"IRQ","1963",7888914
"ISL","1963",185653
"ISR","1963",2379000
"ITA","1963",51252000
"JAM","1963",1703395
"JOR","1963",1049302
"JPN","1963",96812000
"KAZ","1963",10913552
"KEN","1963",8908422
"KGZ","1963",2413700
"KHM","1963",6183747
"KIR","1963",44363
"KNA","1963",50525
"KOR","1963",27261747
"KWT","1963",379891
"LAC","1963",224397456
"LAO","1963",2273349
"LBN","1963",1984980
"LBR","1963",1196890
"LBY","1963",1607171
"LCA","1963",93399
"LCN","1963",239401268
"LDC","1963",258352723
"LIC","1963",165151369
"LIE","1963",17718
"LKA","1963",10597520
"LMC","1963",1021341761
"LMY","1963",2405923225
"LSO","1963",898647
"LTE","1963",1140272235
"LTU","1963",2898950
"LUX","1963",324100
"LVA","1963",2210919
"MAC","1963",184250
"MAF","1963",4656
"MAR","1963",13478232
"MCO","1963",23168
"MDA","1963",2721000
"MDG","1963",5486319
"MDV","1963",97584
"MEA","1963",114471415
"MEX","1963",41939880
"MHL","1963",16114
"MIC","1963",2240771856
"MKD","1963",1547450
"MLI","1963",5441613
"MLT","1963",322550
"MMR","1963",22371902
"MNA","1963",105914391
"MNE","1963",513409
"MNG","1963",1042383
"MNP","1963",10667
"MOZ","1963",7862072
"MRT","1963",936016
"MUS","1963",718861
"MWI","1963",3872118
"MYS","1963",8974084
"NAC","1963",208253700
"NAM","1963",648661
"NCL","1963",85700
"NER","1963",3693866
"NGA","1963",48032246
"NIC","1963",1943590
"NLD","1963",11965966
"NOR","1963",3666537
"NPL","1963",10552267
"NRU","1963",5231
"NZL","1963",2531800
"OED","1963",822892098
"OMN","1963",593501
"OSS","1963",9715748
"PAK","1963",48309315
"PAN","1963",1238823
"PER","1963",10961540
"PHL","1963",29016771
"PLW","1963",10378
"PNG","1963",2139303
"POL","1963",30712000
"PRE","1963",202169074
"PRI","1963",2504530
"PRK","1963",12065468
"PRT","1963",9030355
"PRY","1963",2058915
"PSE","1963",NA
"PSS","1963",955104
"PST","1963",784274508
"PYF","1963",86837
"QAT","1963",61717
"ROU","1963",18797850
"RUS","1963",123960000
"RWA","1963",3102972
"SAS","1963",609391805
"SAU","1963",4516659
"SDN","1963",8248812
"SEN","1963",3481745
"SGP","1963",1795000
"SLB","1963",128866
"SLE","1963",2398414
"SLV","1963",3015887
"SMR","1963",16621
"SOM","1963",2936443
"SRB","1963",NA
"SSA","1963",245458090
"SSD","1963",3131557
"SSF","1963",245503266
"SST","1963",15107656
"STP","1963",64177
"SUR","1963",314528
"SVK","1963",4282017
"SVN","1963",1616971
"SWE","1963",7604328
"SWZ","1963",373897
"SXM","1963",NA
"SYC","1963",45176
"SYR","1963",5034646
"TCA","1963",5740
"TCD","1963",3183551
"TEA","1963",916564189
"TEC","1963",322832322
"TGO","1963",1631764
"THA","1963",29967041
"TJK","1963",2318234
"TKM","1963",1773853
"TLA","1963",228663034
"TLS","1963",527749
"TMN","1963",105914391
"TON","1963",69005
"TSA","1963",609391805
"TSS","1963",245503266
"TTO","1963",892569
"TUN","1963",4377637
"TUR","1963",29531342
"TUV","1963",6538
"TZA","1963",11005905
"UGA","1963",7487429
"UKR","1963",44285899
"UMC","1963",1219430095
"URY","1963",2635129
"USA","1963",189242000
"UZB","1963",9454250
"VCT","1963",84167
"VEN","1963",9130349
"VGB","1963",8452
"VIR","1963",39800
"VNM","1963",35722091
"VUT","1963",69964
"WLD","1963",3191786431
"WSM","1963",119561
"XKX","1963",1022000
"YEM","1963",5446063
"ZAF","1963",18899275
"ZMB","1963",3345145
"ZWE","1963",4132756
"ABW","1964",57032
"AFG","1964",9731361
"AGO","1964",6093321
"ALB","1964",1814135
"AND","1964",17469
"ARB","1964",103239902
"ARE","1964",138529
"ARG","1964",21953929
"ARM","1964",2144998
"ASM","1964",22698
"ATG","1964",59524
"AUS","1964",11167000
"AUT","1964",7223801
"AZE","1964",4456689
"BDI","1964",3010859
"BEL","1964",9378113
"BEN","1964",2585965
"BFA","1964",5098890
"BGD","1964",54129100
"BGR","1964",8144340
"BHR","1964",182887
"BHS","1964",133698
"BIH","1964",3478995
"BLR","1964",8524224
"BLZ","1964",103069
"BMU","1964",48900
"BOL","1964",3990857
"BRA","1964",81168654
"BRB","1964",234547
"BRN","1964",97848
"BTN","1964",247325
"BWA","1964",580799
"CAF","1964",1616516
"CAN","1964",19325000
"CEB","1964",94722599
"CHE","1964",5789228
"CHI","1964",113773
"CHL","1964",8430838
"CHN","1964",698355000
"CIV","1964",4157965
"CMR","1964",5646316
"COD","1964",16903923
"COG","1964",1152412
"COL","1964",18581974
"COM","1964",203753
"CPV","1964",223846
"CRI","1964",1537041
"CSS","1964",4513246
"CUB","1964",7787146
"CUW","1964",133148
"CYM","1964",8298
"CYP","1964",578627
"CZE","1964",9727804
"DEU","1964",75318337
"DJI","1964",107583
"DMA","1964",63926
"DNK","1964",4722072
"DOM","1964",3757956
"DZA","1964",12295970
"EAP","1964",951477683
"EAR","1964",1077037307
"EAS","1964",1109204182
"ECA","1964",296463073
"ECS","1964",698905664
"ECU","1964",5099468
"EGY","1964",30071102
"EMU","1964",275382197
"ERI","1964",1548187
"ESP","1964",31609195
"EST","1964",1277086
"ETH","1964",24397024
"EUU","1964",424075858
"FCS","1964",133661787
"FIN","1964",4548543
"FJI","1964",450450
"FRA","1964",49449403
"FRO","1964",36454
"FSM","1964",50487
"GAB","1964",523789
"GBR","1964",5.4e+07
"GEO","1964",3870300
"GHA","1964",7513289
"GIB","1964",25454
"GIN","1964",3811659
"GMB","1964",394553
"GNB","1964",643961
"GNQ","1964",271457
"GRC","1964",8510429
"GRD","1964",94066
"GRL","1964",37600
"GTM","1964",4730540
"GUM","1964",73051
"GUY","1964",637845
"HIC","1964",795664702
"HKG","1964",3504600
"HND","1964",2280045
"HPC","1964",178820615
"HRV","1964",4259680
"HTI","1964",4186640
"HUN","1964",10119835
"IBD","1964",2063005443
"IBT","1964",2485008106
"IDA","1964",422002663
"IDB","1964",135810058
"IDN","1964",97638029
"IDX","1964",286192605
"IMN","1964",49391
"IND","1964",487484535
"INX","1964",NA
"IRL","1964",2866550
"IRN","1964",24308085
"IRQ","1964",8122199
"ISL","1964",188983
"ISR","1964",2475000
"ITA","1964",51675350
"JAM","1964",1730486
"JOR","1964",1101459
"JPN","1964",97826000
"KAZ","1964",11267329
"KEN","1964",9200157
"KGZ","1964",2495300
"KHM","1964",6331583
"KIR","1964",45425
"KNA","1964",49930
"KOR","1964",27984155
"KWT","1964",425235
"LAC","1964",230726737
"LAO","1964",2327137
"LBN","1964",2041207
"LBR","1964",1224344
"LBY","1964",1667825
"LCA","1964",94814
"LCN","1964",246016368
"LDC","1964",264721836
"LIC","1964",168931464
"LIE","1964",18170
"LKA","1964",10849979
"LMC","1964",1045376895
"LMY","1964",2461795047
"LSO","1964",915822
"LTE","1964",1165840067
"LTU","1964",2935200
"LUX","1964",327750
"LVA","1964",2240623
"MAC","1964",193563
"MAF","1964",4748
"MAR","1964",13857142
"MCO","1964",23236
"MDA","1964",2774000
"MDG","1964",5625164
"MDV","1964",100214
"MEA","1964",117671617
"MEX","1964",43264272
"MHL","1964",16710
"MIC","1964",2292863583
"MKD","1964",1569141
"MLI","1964",5503752
"MLT","1964",321250
"MMR","1964",22867741
"MNA","1964",108774858
"MNE","1964",521753
"MNG","1964",1074514
"MNP","1964",10857
"MOZ","1964",8030025
"MRT","1964",963747
"MUS","1964",736381
"MWI","1964",3963417
"MYS","1964",9253963
"NAC","1964",211262900
"NAM","1964",665282
"NCL","1964",88100
"NER","1964",3802640
"NGA","1964",49066059
"NIC","1964",2002119
"NLD","1964",12127120
"NOR","1964",3694339
"NPL","1964",10728197
"NRU","1964",5500
"NZL","1964",2585400
"OED","1964",833781082
"OMN","1964",608887
"OSS","1964",9898587
"PAK","1964",49551904
"PAN","1964",1276276
"PER","1964",11281015
"PHL","1964",29962876
"PLW","1964",10593
"PNG","1964",2186340
"POL","1964",31139450
"PRE","1964",207073952
"PRI","1964",2554066
"PRK","1964",12282419
"PRT","1964",9035365
"PRY","1964",2114095
"PSE","1964",NA
"PSS","1964",985873
"PST","1964",793405703
"PYF","1964",90132
"QAT","1964",67567
"ROU","1964",18919126
"RUS","1964",125345000
"RWA","1964",3161724
"SAS","1964",622822615
"SAU","1964",4677404
"SDN","1964",8503994
"SEN","1964",3580312
"SGP","1964",1841600
"SLB","1964",132782
"SLE","1964",2435204
"SLV","1964",3106186
"SMR","1964",17032
"SOM","1964",3001126
"SRB","1964",NA
"SSA","1964",251530081
"SSD","1964",3196113
"SSF","1964",251576403
"SST","1964",15397706
"STP","1964",64212
"SUR","1964",322997
"SVK","1964",4327341
"SVN","1964",1632114
"SWE","1964",7661354
"SWZ","1964",382469
"SXM","1964",NA
"SYC","1964",46322
"SYR","1964",5200336
"TCA","1964",5710
"TCD","1964",3246505
"TEA","1964",939183159
"TEC","1964",327602523
"TGO","1964",1662073
"THA","1964",30881332
"TJK","1964",2402455
"TKM","1964",1833063
"TLA","1964",235048548
"TLS","1964",537786
"TMN","1964",108774858
"TON","1964",71757
"TSA","1964",622822615
"TSS","1964",251576403
"TTO","1964",903275
"TUN","1964",4458611
"TUR","1964",30244232
"TUV","1964",6684
"TZA","1964",11339097
"UGA","1964",7746198
"UKR","1964",44794327
"UMC","1964",1247486688
"URY","1964",2665390
"USA","1964",191889000
"UZB","1964",9788986
"VCT","1964",85069
"VEN","1964",9476252
"VGB","1964",8627
"VIR","1964",40800
"VNM","1964",36780985
"VUT","1964",72131
"WLD","1964",3257459749
"WSM","1964",123354
"XKX","1964",1050000
"YEM","1964",5543339
"ZAF","1964",19412975
"ZMB","1964",3452942
"ZWE","1964",4269863
"ABW","1965",57360
"AFG","1965",9938414
"AGO","1965",6203299
"ALB","1965",1864791
"AND","1965",18549
"ARB","1965",106174988
"ARE","1965",150362
"ARG","1965",22283390
"ARM","1965",2211316
"ASM","1965",23520
"ATG","1965",60781
"AUS","1965",11388000
"AUT","1965",7270889
"AZE","1965",4592610
"BDI","1965",3077876
"BEL","1965",9463667
"BEN","1965",2632356
"BFA","1965",5174870
"BGD","1965",55834038
"BGR","1965",8204168
"BHR","1965",187431
"BHS","1965",140054
"BIH","1965",3535640
"BLR","1965",8610000
"BLZ","1965",106119
"BMU","1965",50100
"BOL","1965",4070590
"BRA","1965",83498020
"BRB","1965",235374
"BRN","1965",102425
"BTN","1965",254464
"BWA","1965",597190
"CAF","1965",1648833
"CAN","1965",19678000
"CEB","1965",95447065
"CHE","1965",5856472
"CHI","1965",114995
"CHL","1965",8617077
"CHN","1965",715185000
"CIV","1965",4321791
"CMR","1965",5777834
"COD","1965",17369883
"COG","1965",1184316
"COL","1965",19144223
"COM","1965",207424
"CPV","1965",231428
"CRI","1965",1589621
"CSS","1965",4585777
"CUB","1965",7951933
"CUW","1965",135266
"CYM","1965",8369
"CYP","1965",580966
"CZE","1965",9779358
"DEU","1965",75963695
"DJI","1965",114963
"DMA","1965",65038
"DNK","1965",4759012
"DOM","1965",3878948
"DZA","1965",12626952
"EAP","1965",975325708
"EAR","1965",1103433059
"EAS","1965",1135650893
"ECA","1965",300740822
"ECS","1965",706609007
"ECU","1965",5250119
"EGY","1965",30875964
"EMU","1965",277856703
"ERI","1965",1589179
"ESP","1965",31954292
"EST","1965",1294566
"ETH","1965",25013626
"EUU","1965",427592605
"FCS","1965",136988867
"FIN","1965",4563732
"FJI","1965",463883
"FRA","1965",50023774
"FRO","1965",36900
"FSM","1965",52242
"GAB","1965",532511
"GBR","1965",54348050
"GEO","1965",3921600
"GHA","1965",7710549
"GIB","1965",26041
"GIN","1965",3877806
"GMB","1965",400861
"GNB","1965",652562
"GNQ","1965",277396
"GRC","1965",8550333
"GRD","1965",94581
"GRL","1965",39200
"GTM","1965",4869716
"GUM","1965",74830
"GUY","1965",651868
"HIC","1965",805074670
"HKG","1965",3597900
"HND","1965",2346010
"HPC","1965",183311108
"HRV","1965",4287000
"HTI","1965",4271133
"HUN","1965",10147935
"IBD","1965",2109873875
"IBT","1965",2542784927
"IDA","1965",432911052
"IDB","1965",139283107
"IDN","1965",100308894
"IDX","1965",293627945
"IMN","1965",50141
"IND","1965",497702365
"INX","1965",NA
"IRL","1965",2877300
"IRN","1965",24955115
"IRQ","1965",8375793
"ISL","1965",192286
"ISR","1965",2563000
"ITA","1965",52112350
"JAM","1965",1756266
"JOR","1965",1172550
"JPN","1965",98883000
"KAZ","1965",11588870
"KEN","1965",9504703
"KGZ","1965",2573300
"KHM","1965",6467197
"KIR","1965",46453
"KNA","1965",49214
"KOR","1965",28704674
"KWT","1965",473554
"LAC","1965",237143034
"LAO","1965",2382594
"LBN","1965",2092348
"LBR","1965",1252972
"LBY","1965",1733306
"LCA","1965",96302
"LCN","1965",252710310
"LDC","1965",271400502
"LIC","1965",172929952
"LIE","1965",18649
"LKA","1965",11110828
"LMC","1965",1070053365
